Annotation_Accession,host,isolation_source,Manual_Annotation
GCA_001277915.1_ASM127791v1,NA,soil,Soil
GCA_002096155.1_ASM209615v1,Homo sapiens,NA,Humans
GCA_000876675.2_ASM87667v2,NA,podzolic fallow soil sampled from the ARRIAM experimental field,Soil
GCA_000016445.1_ASM1644v1,NA,NA,NA
GCA_000756435.3_ASM75643v3,Salmo salar,NA,Animals
GCA_002863745.1_ASM286374v1,Homo sapiens (female),sputum,Humans
GCA_003429485.1_ASM342948v1,NA,Coconi,NA
GCA_009740245.1_ASM974024v1,Homo sapiens,NA,Humans
GCA_000007825.1_ASM782v1,NA,NA,NA
GCA_000292795.1_PF-R124.01,NA,orthoquartzite cave surface,Terrestrial
GCA_002759095.1_ASM275909v1,Phaseolus vulgaris,NA,Agriculture
GCA_001687105.1_ASM168710v1,NA,Mangrove soil,Soil
GCA_001513745.1_ASM151374v1,NA,water,Freshwater
GCA_003626975.1_ASM362697v1,NA,soil,Soil
GCA_001302565.1_ASM130256v1,NA,Inner tissues of halophyte Limonium sinense (Girard) Kuntze,Plants
GCA_000300475.1_ASM30047v1,NA,NA,NA
GCA_000009705.1_ASM970v1,NA,NA,NA
GCA_009363215.2_ASM936321v2,Capsicum sp.,Dry beans,Agriculture
GCA_001990245.1_ASM199024v1,Bos taurus,liver from bovine aborted fetus,Livestock
GCA_003367555.1_ASM336755v1,Homo sapiens,urine,Humans
GCA_002836505.1_ASM283650v1,NA,sea ice,Marine
GCA_002892125.1_ASM289212v1,NA,algae aquaculture,Human-impacted
GCA_013367815.1_ASM1336781v1,Homo sapiens,clinical isolate,Humans
GCA_000662395.1_ASM66239v1,NA,ice cream,Food
GCA_009762725.1_ASM976272v1,NA,cherry,Food
GCA_900698985.1_ErCipseudotsugae_Palmer_v1.0,NA,host's whole body,NA
GCA_000211375.1_ASM21137v1,NA,NA,NA
GCA_001669145.2_ASM166914v2,Homo sapiens,NA,Humans
GCA_000007165.1_ASM716v1,NA,NA,NA
GCA_013046885.1_ASM1304688v1,Homo sapiens,bile,Humans
GCA_000724405.2_GD211209_1.0,cattle,NA,Livestock
GCA_010183645.1_ASM1018364v1,Homo sapiens,pus,Humans
GCA_005222025.1_ASM522202v1,NA,cattle,Livestock
GCA_009724885.1_ASM972488v1,Oncorhynchus kisutch,NA,Animals
GCA_000815185.1_ASM81518v1,rice,rice seeds,Agriculture
GCA_000183745.1_ASM18374v1,NA,deep sea hot vent,Marine
GCA_000189515.1_ASM18951v1,NA,NA,NA
GCA_001678965.1_ASM167896v1,NA,ground beef,Food
GCA_003051945.2_ASM305194v2,Homo sapiens,NA,Humans
GCA_013347125.1_ASM1334712v1,NA,Shallow sea; symbiosis with algae,Marine
GCA_009664715.1_ASM966471v1,Homo sapiens,NA,Humans
GCA_003031775.1_ASM303177v1,Homo sapiens,blood,Humans
GCA_002214585.1_ASM221458v1,NA,Hydrothermal precipitates,Marine
GCA_002943835.1_ASM294383v1,Medicago sativa,from a crown gall tumor on a field-grown alfalfa,Agriculture
GCA_900249895.1_CBM2610,NA,NA,NA
GCA_001432345.1_ASM143234v1,NA,retail chicken,Food
GCA_000021325.1_ASM2132v1,NA,NA,NA
GCA_001536925.1_BMC_PRJEB12378v1,NA,NA,NA
GCA_003589865.1_ASM358986v1,cattle,NA,Livestock
GCA_003290405.1_ASM329040v1,NA,NA,NA
GCA_005491705.1_ASM549170v1,NA,air,Terrestrial
GCA_001956815.1_ASM195681v1,NA,NA,NA
GCA_005377825.1_ASM537782v1,Homo sapiens,NA,Humans
GCA_012849215.1_ASM1284921v1,NA,Flower of Shittah tree,Plants
GCA_009676865.1_ASM967686v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_003325155.1_ASM332515v1,NA,NA,NA
GCA_000730345.1_ASM73034v1,NA,NA,NA
GCA_001513615.1_ASM151361v1,cat,NA,Livestock
GCA_001704335.1_ASM170433v1,Drosophila melanogaster,whole fly,Animals
GCA_006094395.1_ASM609439v1,NA,NA,NA
GCA_013458535.1_ASM1345853v1,NA,agricultural soil,Soil
GCA_011306175.1_ASM1130617v1,Anodonta arcaeformis,NA,Animals
GCA_009858215.1_ASM985821v1,soil,NA,Soil
GCA_000969905.1_ASM96990v1,NA,NA,NA
GCA_003194025.1_ASM319402v1,NA,NA,NA
GCA_002934965.1_ASM293496v1,NA,NA,NA
GCA_000019685.1_ASM1968v1,NA,NA,NA
GCA_002591075.1_ASM259107v1,Homo sapiens,Urine,Humans
GCA_011801245.1_ASM1180124v1,Pepper,Stem of infected pepper plant,Agriculture
GCA_002951915.1_ASM295191v1,honeybees,foul brood,Animals
GCA_003815675.1_ASM381567v1,Homo sapiens,NA,Humans
GCA_000497445.1_S.roseochromogenes_v1,NA,NA,NA
GCA_005707215.1_ASM570721v1,Homo sapiens,NA,Humans
GCA_001515685.1_ASM151568v1,Homo sapiens,From patient with blood stream infection,Humans
GCA_012974405.1_ASM1297440v1,Homo sapiens,blood,Humans
GCA_000181715.2_ASM18171v2,NA,NA,NA
GCA_000021005.1_ASM2100v1,NA,NA,NA
GCA_013201705.1_ASM1320170v1,NA,Human septic tank,Human-impacted
GCA_003096075.1_ASM309607v1,NA,soil,Soil
GCA_000187005.1_ASM18700v1,NA,NA,NA
GCA_000225385.2_ASM22538v2,Homo sapiens,oral swab from healthy volunteer,Humans
GCA_000219915.3_ASM21991v3,NA,NA,NA
GCA_004354345.1_ASM435434v1,NA,water column of an alpine lake,Freshwater
GCA_013167875.1_ASM1316787v1,Homo sapiens,NA,Humans
GCA_004136135.1_ASM413613v1,Bovine,bovine peripheral lymph node,Livestock
GCA_009708135.1_ASM970813v1,Peromyscus leucopus,forestomach,Animals
GCA_005221925.1_ASM522192v1,NA,cattle,Livestock
GCA_005221645.1_ASM522164v1,NA,cattle,Livestock
GCA_002803885.1_ASM280388v1,Homo sapiens,Infection,Humans
GCA_003667965.1_ASM366796v1,NA,NA,NA
GCA_002872495.3_ASM287249v3,NA,soil,Soil
GCA_006965405.3_ASM696540v3,Homo sapiens,blood,Humans
GCA_007814385.1_ASM781438v1,NA,Buffalo milk,Food
GCA_002087975.1_ASM208797v1,NA,NA,NA
GCA_003590075.1_ASM359007v1,NA,Tattoo ink,Human-impacted
GCA_003718535.1_ASM371853v1,NA,NA,NA
GCA_003368365.1_ASM336836v1,Homo sapiens,nasal swab from moderately born preterm neonate admitted to the sick neonatal care unit with respiratory distress,Humans
GCA_002837945.2_ASM283794v2,Homo sapiens,blood,Humans
GCA_000783935.2_ASM78393v2,Homo sapiens,G-tube swab,Humans
GCA_000010225.1_ASM1022v1,NA,NA,NA
GCA_004103515.1_ASM410351v1,NA,food,Food
GCA_013137915.1_ASM1313791v1,Homo sapiens,oral,Humans
GCA_000559005.1_Ba52G_1.0,NA,bovine,Livestock
GCA_003382725.1_ASM338272v1,canine,NA,Livestock
GCA_004124035.2_ASM412403v2,NA,pork dumplings,Food
GCA_005890195.1_ASM589019v1,NA,Salt,Food
GCA_003814285.1_ASM381428v1,NA,Natural whey culture from Gruyere cheese,Food
GCA_003054555.1_ASM305455v1,NA,cave,Terrestrial
GCA_000877815.1_ASM87781v1,NA,Waxworms gut,Animals
GCA_003259695.1_ASM325969v1,Homo sapiens,skin smear,Humans
GCA_010365585.1_ASM1036558v1,NA,environment,NA
GCA_001611155.1_ASM161115v1,NA,NA,NA
GCA_003957435.1_ASM395743v1,NA,Korean adult feces,Humans
GCA_000233435.1_ASM23343v1,Mastotermes darwiniensis,NA,Animals
GCA_011290465.1_ASM1129046v1,NA,isolated from the tobacco substrate,Agriculture
GCA_002142675.1_ASM214267v1,Homo sapiens,blood,Humans
GCA_004799645.1_ASM479964v1,NA,The Bange salt-alkaline lake in Tibet,Terrestrial
GCA_000328685.1_ASM32868v1,NA,soda lake,Terrestrial
GCA_013168135.1_ASM1316813v1,cattle,cattle feces,Livestock
GCA_001305615.1_ASM130561v1,NA,oil contaminated tidal flat,Human-impacted
GCA_007113545.2_ASM711354v2,NA,Micro soil grain,Soil
GCA_000710365.3_ASM71036v3,Homo sapiens,blood,Humans
GCA_013307005.1_ASM1330700v1,Homo sapiens,NA,Humans
GCA_009867015.1_ASM986701v1,Bos taurus,Bovine adult,Livestock
GCA_011058675.1_ASM1105867v1,Homo sapiens,Urethral discharge,Humans
GCA_000747565.1_ASM74756v1,NA,NA,NA
GCA_011044215.1_ASM1104421v1,Homo sapiens,NA,Humans
GCA_001634305.1_ASM163430v1,NA,Geothermal isolate,Terrestrial
GCA_003691505.1_ASM369150v1,Penaeus vannamei,shrimp,Animals
GCA_001753545.1_ASM175354v1,NA,Cattle Hide,Livestock
GCA_002740915.1_ASM274091v1,NA,CSF,NA
GCA_003286995.1_ASM328699v1,Homo sapiens,NA,Humans
GCA_001886735.1_ASM188673v1,toxic Alexandrium minutum,cell culture of Alexandrium minutum 1089,Animals
GCA_001969425.1_ASM196942v1,NA,Chinese egg powder,Food
GCA_003597635.1_ASM359763v1,NA,kimchi,Food
GCA_000715155.2_ASM71515v2,NA,NA,NA
GCA_000430105.1_ASM43010v1,Homo sapiens,stool,Humans
GCA_000224475.1_ASM22447v1,NA,NA,NA
GCA_000185245.1_ASM18524v1,NA,NA,NA
GCA_009903715.2_ASM990371v2,poultry,NA,Livestock
GCA_000017685.1_ASM1768v1,NA,NA,NA
GCA_000166115.1_ASM16611v1,NA,NA,NA
GCA_013367715.1_ASM1336771v1,NA,Human GI tract,Humans
GCA_003970805.1_ASM397080v1,Coreoleuciscus splendidus,gut,Animals
GCA_002591665.3_ASM259166v3,Juglans regia,graft union,Agriculture
GCA_002082645.1_ASM208264v1,Homo sapiens,sputum,Humans
GCA_002209085.2_ASM220908v2,NA,Plant derived food stuff; onion; Allium cepa,Food
GCA_000196475.1_ASM19647v1,NA,NA,NA
GCA_000347615.1_ASM34761v1,NA,NA,NA
GCA_011769805.1_ASM1176980v1,Homo sapiens,urine,Humans
GCA_012050745.1_ASM1205074v1,Homo sapiens,Human blood,Humans
GCA_003186535.1_ASM318653v1,Homo sapiens,urine,Humans
GCA_013395015.1_ASM1339501v1,NA,Cowshed of a farm,Livestock
GCA_000347675.2_ASM34767v2,NA,NA,NA
GCA_001672535.1_ASM167253v1,Homo sapiens,Skin,Humans
GCA_004332075.1_ASM433207v1,Homo sapiens,rectal swab,Humans
GCA_004801595.1_ASM480159v1,NA,Treated sewage effluent,Human-impacted
GCA_009883815.1_ASM988381v1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animals
GCA_000576165.1_ASM57616v1,NA,NA,NA
GCA_007998065.1_ASM799806v1,Sus scrofa domesticus,NA,Livestock
GCA_000214275.3_ASM21427v3,NA,muddy water,Sediment
GCA_001611955.1_ASM161195v1,NA,leaf vegetable,Food
GCA_000009765.2_ASM976v2,NA,NA,NA
GCA_003030465.1_ASM303046v1,NA,Wastewater treatment plant,Human-impacted
GCA_004119675.1_ASM411967v1,NA,food,Food
GCA_005221885.1_ASM522188v1,NA,cattle,Livestock
GCA_000430085.2_ASM43008v2,chicken,NA,Livestock
GCA_013364375.1_ASM1336437v1,NA,marine sediment,Sediment
GCA_000832765.1_ASM83276v1,NA,NA,NA
GCA_000784905.1_ASM78490v1,NA,sink drain,Human-impacted
GCA_007036205.1_ASM703620v1,NA,NA,NA
GCA_000828615.1_ASM82861v1,NA,NA,NA
GCA_000496285.1_ASM49628v1,NA,soil,Soil
GCA_000006155.2_ASM615v2,NA,NA,NA
GCA_000069785.1_ASM6978v1,NA,NA,NA
GCA_002156765.1_ASM215676v1,Homo sapiens,urine,Humans
GCA_009832765.1_ASM983276v1,NA,mead,Food
GCA_000277895.2_ASM27789v2,NA,NA,NA
GCA_009684615.1_ASM968461v1,NA,BALF,NA
GCA_002634025.1_ASM263402v1,Homo sapiens,NA,Humans
GCA_000724265.2_NCTC9691_1.0,sheep,NA,Livestock
GCA_003347035.1_ASM334703v1,Bos taurus,intestine,Livestock
GCA_003391215.1_ASM339121v1,NA,NA,NA
GCA_000711115.1_B2_433,Homo sapiens,feces,Humans
GCA_005037795.2_ASM503779v2,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCA_000271325.1_ASM27132v1,NA,NA,NA
GCA_000165815.1_ASM16581v1,NA,NA,NA
GCA_001729265.1_ASM172926v1,Ictalurus punctatus,NA,Animals
GCA_002163605.1_ASM216360v1,NA,NA,NA
GCA_001714575.1_ASM171457v1,Platycercus elegans,NA,Animals
GCA_005885975.1_ASM588597v1,Homo sapiens,nasal swab,Humans
GCA_004006035.1_ASM400603v1,Homo sapiens,blood,Humans
GCA_003043895.1_ASM304389v1,NA,NA,NA
GCA_000495635.1_GBA94-10.20,Phakellia ventilabrum,sponge,Animals
GCA_000281435.2_ASM28143v2,Homo sapiens,groin,Humans
GCA_007567665.1_ASM756766v1,Soybean (Glycine max (L.) Merrill),NA,Agriculture
GCA_003432285.1_ASM343228v1,NA,NA,NA
GCA_003544875.1_ASM354487v1,Solea senegalensis,gill,Animals
GCA_003595625.1_ASM359562v1,NA,Manure compost,Soil
GCA_001932735.1_ASM193273v1,Salmo salar,Liver,Animals
GCA_003957455.1_ASM395745v1,Homo sapiens,urine,Humans
GCA_001455125.1_ASM145512v1,Homo sapiens,subgingival dental plaque,Humans
GCA_009432215.1_ASM943221v1,NA,cattle,Livestock
GCA_001767235.1_ASM176723v1,NA,shallow tropical waters; normally from coral reef substrate,Marine
GCA_001653975.1_ASM165397v1,Sanzinia madagascariensis volontany,choana,Animals
GCA_000317065.1_ASM31706v1,NA,NA,NA
GCA_000163055.2_ASM16305v2,NA,NA,NA
GCA_000626675.1_ASM62667v1,NA,NA,NA
GCA_002240095.1_ASM224009v1,NA,hospitalized patients,Humans
GCA_000018105.1_ASM1810v1,NA,NA,NA
GCA_005037715.2_ASM503771v2,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCA_006742785.1_ASM674278v1,NA,composted cattle manure,Soil
GCA_009829915.1_ASM982991v1,Nezara viridula,NA,Animals
GCA_012562765.1_ASM1256276v1,Plateumaris pusilla,Beetle Malpighian tubules,Animals
GCA_902459535.1_Paraburkholderia_sp_Msb3,NA,leaf,Plants
GCA_010196425.1_ASM1019642v1,NA,freshwater,Freshwater
GCA_013167515.1_ASM1316751v1,Homo sapiens,NA,Humans
GCA_008693725.1_ASM869372v1,Homo sapiens,clinical isolate,Humans
GCA_013364475.1_ASM1336447v1,Homo sapiens,clinical isolate,Humans
GCA_008329865.1_ASM832986v1,Homo sapiens,nasal perirectal swab,Humans
GCA_001399655.1_ASM139965v1,Homo sapiens,wound,Humans
GCA_005844045.1_ASM584404v1,NA,cattle slurry,Livestock
GCA_010669165.1_ASM1066916v1,NA,soil,Soil
GCA_000300355.4_ASM30035v4,gilthead seabream,liver of fish with pasteurellosis,Animals
GCA_000222305.1_ASM22230v1,Ixodes pacificus (western blackleg tick),NA,Animals
GCA_008244725.1_ASM824472v1,NA,NA,NA
GCA_000318645.1_ASM31864v1,NA,NA,NA
GCA_000236405.1_ASM23640v1,Cryptocercus punctulatus,NA,Animals
GCA_001945665.1_ASM194566v1,Homo sapiens,Blood,Humans
GCA_003717655.1_ASM371765v1,NA,NA,NA
GCA_000026525.1_ASM2652v1,NA,NA,NA
GCA_003606345.3_ASM360634v3,NA,Flea,Animals
GCA_000359625.1_ASM35962v1,NA,NA,NA
GCA_000742735.1_ASM74273v1,NA,NA,NA
GCA_001984825.2_ASM198482v2,Homo sapiens,blood,Humans
GCA_000012525.1_ASM1252v1,NA,NA,NA
GCA_000016305.1_ASM1630v1,NA,NA,NA
GCA_002892225.1_ASM289222v1,NA,clam larvae aquaculture,Human-impacted
GCA_013371705.1_ASM1337170v1,Homo sapiens,urine,Humans
GCA_002073935.1_ASM207393v1,Pediculus humanus,NA,Animals
GCA_013488205.1_ASM1348820v1,Homo sapiens,NA,Humans
GCA_009708315.1_ASM970831v1,Salmo salar,NA,Animals
GCA_001913215.1_ASM191321v1,Actinidia deliciosa,kiwifruit orchard,Agriculture
GCA_001952915.1_ASM195291v1,Homo sapiens,NA,Humans
GCA_002763515.3_ASM276351v3,Homo sapiens,urine,Humans
GCA_001618305.1_ASM161830v1,Homo sapiens,NA,Humans
GCA_001729865.1_ASM172986v1,Homo sapiens,Right conjunctiva of a child with trachoma,Humans
GCA_002104575.1_ASM210457v1,NA,soil,Soil
GCA_004114375.1_ASM411437v1,NA,Salt Crust,Terrestrial
GCA_002863765.1_ASM286376v1,NA,sediment,Sediment
GCA_003856475.1_ASM385647v1,Homo sapiens,respiratory tract,Humans
GCA_000009585.1_ASM958v1,NA,NA,NA
GCA_900015005.1_Lactobacillus_oligofermentans_LMG_22743_genome,NA,NA,NA
GCA_003999525.1_ASM399952v1,common bean,leaves of Phaseolus vulgaris,Agriculture
GCA_013426915.1_ASM1342691v1,Physopelta gutta,Midgut crypts of stink bug,Animals
GCA_002741685.1_ASM274168v1,Homo sapiens,rectal swab,Humans
GCA_009363615.1_ASM936361v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_006351885.1_ASM635188v1,Homo sapiens,feces,Humans
GCA_002848365.2_ASM284836v2,Homo sapiens,Respiratory sample - sputum,Humans
GCA_013403565.1_ASM1340356v1,Anodonta arcaeformis,NA,Animals
GCA_004919265.1_ASM491926v1,Homo sapiens,NA,Humans
GCA_001455225.1_ASM145522v1,NA,NA,NA
GCA_001596775.2_ASM159677v2,Homo sapiens,blood,Humans
GCA_002848465.1_ASM284846v1,NA,meat processing facility,Human-impacted
GCA_003028295.1_ASM302829v1,Coregonus clupeaformis (lake whitefish),intestines,Animals
GCA_001806445.1_ASM180644v1,Homo sapiens,Wound,Humans
GCA_012889415.1_ASM1288941v1,Homo sapiens,NA,Humans
GCA_002796505.1_ASM279650v1,NA,NA,NA
GCA_013348925.1_ASM1334892v1,Homo sapiens,sputum,Humans
GCA_013348005.1_ASM1334800v1,Phaseolus vulgaris,NA,Agriculture
GCA_013167135.1_ASM1316713v1,NA,beef,Food
GCA_003267985.1_ASM326798v1,NA,NA,NA
GCA_000017145.1_ASM1714v1,NA,NA,NA
GCA_003717815.1_ASM371781v1,NA,NA,NA
GCA_009708005.2_ASM970800v2,wax moth,intestine from larvae,Animals
GCA_013170865.1_ASM1317086v1,Lotus sp.,NA,Plants
GCA_000747295.1_ASM74729v1,Medicago orbicularis,NA,Plants
GCA_000016265.1_ASM1626v1,NA,NA,NA
GCA_000783755.2_ASM78375v2,Homo sapiens,Lung Tissue grind,Humans
GCA_002870905.1_ASM287090v1,Homo sapiens,NA,Humans
GCA_003368345.1_ASM336834v1,Homo sapiens,nasal swab from a 10 day old extremely preterm born neonate suffering from respiratory distress,Humans
GCA_013343595.1_ASM1334359v1,NA,cattle feces,Livestock
GCA_002853655.1_ASM285365v1,NA,clinical patient,Humans
GCA_003515465.1_ASM351546v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_002412025.1_ASM241202v1,NA,fish aquaculture,Human-impacted
GCA_000317105.1_ASM31710v1,NA,soil,Soil
GCA_001513635.1_ASM151363v1,Homo sapiens,NA,Humans
GCA_002902885.1_ASM290288v1,NA,NA,NA
GCA_004028335.1_ASM402833v1,NA,Tibet kefir,Food
GCA_008694045.1_ASM869404v1,duck,NA,Livestock
GCA_006385635.1_ASM638563v1,Homo sapiens,feces,Humans
GCA_002850555.1_ASM285055v1,Galleria mellonella,gut (3-4th instar larva),Animals
GCA_001999905.1_ASM199990v1,NA,crude oil-contamination soil,Human-impacted
GCA_013046865.1_ASM1304686v1,Homo sapiens,sputum,Humans
GCA_003966445.1_ASM396644v1,Bos taurus,feces,Livestock
GCA_009387915.1_ASM938791v1,Homo sapiens,stool,Humans
GCA_000444995.1_ASM44499v1,NA,NA,NA
GCA_003855235.1_ASM385523v1,Homo sapiens,rectum,Humans
GCA_003595405.1_ASM359540v1,Homo sapiens,Wound fluid,Humans
GCA_001612475.1_ASM161247v1,NA,Bovine carcass,Livestock
GCA_003146705.1_ASM314670v1,Homo sapiens,Peri-rectal,Humans
GCA_001651945.2_ASM165194v2,Bos taurus,feces,Livestock
GCA_003391195.1_ASM339119v1,NA,NA,NA
GCA_011045795.1_ASM1104579v1,NA,a feces sample of swine origin,Livestock
GCA_005222645.1_ASM522264v1,Homo sapiens,NA,Humans
GCA_004803735.1_ASM480373v1,NA,soil,Soil
GCA_000465235.1_ASM46523v1,NA,NA,NA
GCA_010748935.1_ASM1074893v1,Homo sapiens,blood,Humans
GCA_000237975.1_ASM23797v1,NA,coal spoil heap,Terrestrial
GCA_000171755.2_ASM17175v2,NA,NA,NA
GCA_001693655.1_ASM169365v1,NA,China: Zibo; Shandong,NA
GCA_001717665.2_ASM171766v2,Homo sapiens,Nose from military trainee,Humans
GCA_001647755.1_ASM164775v1,NA,chicken carcass,Food
GCA_003264295.1_ASM326429v1,Homo sapiens,sputum,Humans
GCA_001806285.1_ASM180628v1,NA,NA,NA
GCA_002848705.1_ASM284870v1,Homo sapiens,blood,Humans
GCA_001983995.1_ASM198399v1,NA,Western North Pacific Station S1,Human-impacted
GCA_003627315.1_ASM362731v1,NA,fermented vegetables,Food
GCA_002905685.2_ASM290568v2,Prunus avium,ENVO_00000115,Agriculture
GCA_900233005.1_Vibrio_tapetis_CECT4600,NA,NA,NA
GCA_003368005.1_ASM336800v1,Homo sapiens,NA,Humans
GCA_001936355.1_ASM193635v1,NA,Retail chichen,Food
GCA_003718415.1_ASM371841v1,NA,NA,NA
GCA_002749515.1_ASM274951v1,Homo sapiens,Blood cultures,Humans
GCA_000294775.2_ASM29477v2,NA,seawater,Marine
GCA_001441205.1_ASM144120v1,NA,chicken meat,Food
GCA_009363295.1_ASM936329v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_003181035.1_ASM318103v1,Homo sapiens,NA,Humans
GCA_000801315.1_ASM80131v1,NA,soil,Soil
GCA_009807095.1_ASM980709v1,Androsace koso-poljanskii,plant,Plants
GCA_011220525.1_PaenibacERICV_HGAP3_2SC,honeybees,foul brood,Animals
GCA_009363655.1_ASM936365v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_009740145.1_ASM974014v1,NA,cucumber rhizosphere,Soil
GCA_009676745.1_ASM967674v1,NA,kimchi,Food
GCA_002838005.2_ASM283800v2,Homo sapiens,wound swab,Humans
GCA_001750145.1_ASM175014v1,NA,Lake Untersee,Freshwater
GCA_002224585.2_ASM222458v2,rice,NA,Agriculture
GCA_009734105.1_ASM973410v1,Homo sapiens,NA,Humans
GCA_001953195.1_ASM195319v1,NA,soil,Soil
GCA_006364295.1_ASM636429v1,NA,NA,NA
GCA_000010105.1_ASM1010v1,NA,seawater,Marine
GCA_001990105.1_ASM199010v1,NA,Sea bass,Animals
GCA_000970065.1_ASM97006v1,NA,NA,NA
GCA_001877035.1_ASM187703v1,NA,vacuum packed beef,Food
GCA_007990675.1_ASM799067v1,NA,NA,NA
GCA_002903005.1_ASM290300v1,NA,NA,NA
GCA_009914035.1_ASM991403v1,NA,Soybean paste (Chonggugjang),Food
GCA_001455995.1_MS6671.v1,Homo sapiens,urine,Humans
GCA_006770505.1_ASM677050v1,Homo sapiens,healthy adult fecal sample,Humans
GCA_000522545.2_ASM52254v2,NA,NA,NA
GCA_012272675.1_ASM1227267v1,Homo sapiens,clinical isolate,Humans
GCA_003966695.1_ASM396669v1,Lemna minor,NA,Plants
GCA_000026445.2_ASM2644v2,NA,NA,NA
GCA_000427195.1_ASM42719v1,NA,NA,NA
GCA_000334405.1_ASM33440v1,Blatta orientalis,NA,Animals
GCA_004798745.1_ASM479874v1,Homo sapiens,NA,Humans
GCA_004135975.1_ASM413597v1,NA,water,Freshwater
GCA_900094145.1_CNCM_I-4031,NA,NA,NA
GCA_003330785.1_ASM333078v1,NA,soil,Soil
GCA_009734405.1_ASM973440v1,NA,soil from a small paddock,Soil
GCA_002850295.1_ASM285029v1,NA,NA,NA
GCA_004119835.1_ASM411983v1,NA,food,Food
GCA_004118995.1_ASM411899v1,Homo sapiens,blood,Humans
GCA_012224765.1_ASM1222476v1,NA,duck meat,Food
GCA_000247545.1_ASM24754v1,NA,NA,NA
GCA_005221725.1_ASM522172v1,NA,cattle,Livestock
GCA_006088715.1_ASM608871v1,NA,soil,Soil
GCA_002234455.1_ASM223445v1,Homo sapiens,NA,Humans
GCA_001890305.1_ASM189030v1,NA,cattle feces,Livestock
GCA_000010885.1_ASM1088v1,NA,NA,NA
GCA_009709475.1_ASM970947v1,Salmo salar,NA,Animals
GCA_001746465.1_ASM174646v1,NA,soil,Soil
GCA_009859475.1_ASM985947v1,NA,agricultural waste material [ENVO:01000371],Human-impacted
GCA_003966855.1_ASM396685v1,NA,Japanese pear,Agriculture
GCA_004337365.2_ASM433736v2,NA,rhizosphere,Soil
GCA_000211155.1_ASM21115v1,NA,NA,NA
GCA_013393905.1_ASM1339390v1,Blasia pusilla,NA,Plants
GCA_003846405.1_ASM384640v1,NA,microbial mat material from brackish estuary,Marine
GCA_003967135.1_ASM396713v1,Seriola dumerili,NA,Animals
GCA_000832785.1_ASM83278v1,NA,Bovine,Livestock
GCA_000832405.1_ASM83240v1,Homo sapiens,blood,Humans
GCA_003085735.1_ASM308573v1,Litopenaeus vannamei,NA,Animals
GCA_003718575.1_ASM371857v1,NA,NA,NA
GCA_001854145.2_ASM185414v2,Glycine max cv. Jinju1,infected soybean plant,Agriculture
GCA_001982465.1_ASM198246v1,Homo sapiens,blood,Humans
GCA_007035645.1_ASM703564v1,Homo sapines,urine,Humans
GCA_003798405.1_ASM379840v1,Homo sapiens,NA,Humans
GCA_013426775.1_ASM1342677v1,NA,NA,NA
GCA_001721085.1_ASM172108v1,Homo sapiens,human blood,Humans
GCA_000224535.1_ASM22453v1,Homo sapiens,Amerindian gastritis patient,Humans
GCA_007361795.1_ASM736179v1,NA,NA,NA
GCA_000833195.1_ASM83319v1,NA,Water,Freshwater
GCA_000272735.4_ASM27273v4,Bos taurus,Cattle,Livestock
GCA_000087965.1_ASM8796v1,NA,NA,NA
GCA_001735655.2_ASM173565v2,Homo sapiens,purulent abscess,Humans
GCA_002786865.1_ASM278686v1,Homo sapiens,Open pus,Humans
GCA_003515445.1_ASM351544v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_009735625.1_ASM973562v1,NA,mixed sediment-water sample,Sediment
GCA_001683315.1_ASM168331v1,NA,Myeolchi-jeotgal; salted fermented food,Food
GCA_006741355.1_ASM674135v1,NA,Eutrophic soil,Soil
GCA_900698955.1_ErCilaricifoliae_v1.0,NA,host's whole body,NA
GCA_000800845.2_ASM80084v2,NA,NA,NA
GCA_000958465.1_ASM95846v1,Medicago truncatula,NA,Plants
GCA_004328535.1_ASM432853v1,NA,human skin swab,Humans
GCA_003627755.1_ASM362775v1,Calliandra grandiflora,tropical rain forests and high mountains,Plants
GCA_013340745.1_ASM1334074v1,NA,NA,NA
GCA_000931465.1_ASM93146v1,Homo sapiens,Urine,Humans
GCA_000242335.3_ASM24233v3,Homo sapiens,dental root canal,Humans
GCA_000452445.3_ASM45244v3,Pisum sativum,NA,Agriculture
GCA_000009605.1_ASM960v1,Acyrthosiphon pisum,NA,Animals
GCA_000742955.1_ASM74295v1,NA,NA,NA
GCA_003966465.1_ASM396646v1,Bos taurus,feces,Livestock
GCA_001558355.2_ASM155835v2,NA,Wild type strain isolated from a natural source,NA
GCA_000192635.1_ASM19263v1,NA,NA,NA
GCA_000737555.1_ASM73755v1,NA,NA,NA
